timestamp,temperature.gpu,power.draw,power.limit,utilization.gpu,utilization.memory,memory.used,memory.total,clocks.gr,clocks.mem,fan.speed,pstate
2026/02/05 00:13:49.393,67,19.85,[N/A],33,6,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:50.465,67,20.19,[N/A],32,6,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:51.537,67,19.80,[N/A],34,6,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:52.601,67,19.65,[N/A],32,6,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:53.669,67,18.75,[N/A],33,6,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:54.743,67,16.20,[N/A],27,5,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:55.855,67,19.88,[N/A],38,9,1268,4096,1575,7000,[N/A],P0
2026/02/05 00:13:56.937,68,23.94,[N/A],39,11,1339,4096,1695,7000,[N/A],P0
2026/02/05 00:13:58.007,68,23.97,[N/A],38,12,1427,4096,1695,7000,[N/A],P0
2026/02/05 00:13:59.077,69,24.14,[N/A],38,12,1437,4096,1672,7000,[N/A],P0
2026/02/05 00:14:00.143,68,22.65,[N/A],38,12,1437,4096,1650,7000,[N/A],P0
2026/02/05 00:14:01.211,68,20.76,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:02.275,68,19.62,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:03.348,68,19.69,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:04.418,68,19.48,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:05.487,68,19.73,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:06.558,68,19.83,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:07.621,68,19.57,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:08.691,68,19.57,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:09.758,68,19.65,[N/A],34,10,1437,4096,1575,7000,[N/A],P0
2026/02/05 00:14:10.841,68,20.10,[N/A],35,10,1462,4096,1575,7000,[N/A],P0
2026/02/05 00:14:11.904,68,19.84,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:12.969,69,14.77,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:14.037,68,19.58,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:15.104,68,20.06,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:16.169,69,19.65,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:17.240,68,19.66,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:18.312,68,19.66,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
2026/02/05 00:14:19.382,69,22.62,[N/A],34,10,1495,4096,1575,7000,[N/A],P0
